p	T	rho	z
0.00098880	165.40	0.00016610	147.78
0.0011280	164.60	0.00019040	144.41
0.0012850	162.80	0.00021940	141.08
0.0014670	157.50	0.00025880	137.79
0.0016750	157.30	0.00029590	134.56
0.0019090	156.20	0.00033950	131.38
0.0021710	155.60	0.00038760	128.26
0.0024660	153.30	0.00044700	125.21
0.0027990	150.30	0.00051730	122.23
0.0031700	149.80	0.00058800	119.33
0.0035780	150.10	0.00066230	116.51
0.0040230	150.20	0.00074420	113.78
0.0045000	152.20	0.00082150	111.15
0.0050070	153.20	0.00090800	108.62
0.0055470	152.50	0.0010110	106.19
0.0061200	153.70	0.0011070	103.86
0.0067110	156.20	0.0011940	101.64
0.0073190	158.50	0.0012830	99.519
0.0079430	159.60	0.0013830	97.501
0.0085800	160.60	0.0014840	95.583
0.0092320	160.10	0.0016020	93.762
0.0098980	159.70	0.0017220	92.035
0.010580	158.40	0.0018550	90.399
0.011270	157.80	0.0019840	88.849
0.011970	156.50	0.0021250	87.383
0.012670	154.60	0.0022770	85.996
0.013390	153.40	0.0024250	84.685
0.014110	151.50	0.0025880	83.444
0.014840	148.40	0.0027790	82.271
0.015580	147.30	0.0029370	81.162
0.016320	144.00	0.0031480	80.112
0.017070	142.10	0.0033370	79.118
0.017820	140.00	0.0035370	78.177
0.018570	139.30	0.0037030	77.285
0.019320	136.20	0.0039420	76.439
0.020080	133.30	0.0041850	75.635
0.020840	132.20	0.0043800	74.871
0.021580	133.30	0.0044980	74.145
0.022320	132.50	0.0046810	73.452
0.023050	132.90	0.0048200	72.791
0.023770	132.20	0.0049960	72.158
0.024490	133.10	0.0051100	71.551
0.025180	134.50	0.0052030	70.968
0.025870	133.80	0.0053740	70.407
0.026550	134.80	0.0054750	69.866
0.027230	134.00	0.0056440	69.344
0.027910	131.70	0.0058890	68.838
0.028580	131.50	0.0060410	68.349
0.029260	130.10	0.0062510	67.874
0.029940	128.80	0.0064570	67.413
0.030620	128.60	0.0066160	66.965
0.031300	126.40	0.0068790	66.530
0.031990	125.70	0.0070690	66.105
0.032680	125.90	0.0072150	65.691
0.033360	126.60	0.0073200	65.286
0.034040	126.00	0.0075090	64.891
0.034720	126.40	0.0076340	64.504
0.035400	126.60	0.0077720	64.124
0.036080	127.50	0.0078600	63.751
0.036750	129.00	0.0079140	63.385
0.037420	127.90	0.0081310	63.025
0.038100	127.80	0.0082860	62.671
0.038780	126.20	0.0085380	62.321
0.039470	126.30	0.0086860	61.977
0.040160	125.10	0.0089230	61.637
0.040870	124.90	0.0090890	61.302
0.041570	124.30	0.0092950	60.971
0.042290	123.80	0.0094900	60.644
0.043010	122.60	0.0097440	60.321
0.043740	122.60	0.0099150	60.001
0.044470	121.80	0.010150	59.685
0.045220	120.20	0.010460	59.372
0.045990	119.30	0.010710	59.062
0.046760	118.50	0.010970	58.755
0.047540	118.50	0.011150	58.450
0.048330	117.60	0.011420	58.149
